Index,Name,MaleProb,FemaleProb
none,없음,0.1,0.1
shoes-992,낭만 스니커즈,0.2,0.2
shoes-991,다람곰 탐험단 구두,0.2,0.2
shoes-422,후냥냥 니삭스,0.2,0.2
shoes-801,단호한 철퇴 구두,0.2,0.2
shoes-344,할로퀸 구두,0.2,0.2
shoes-989,봄 바람 운동화,0.2,0.2
shoes-1021,푸른 악몽 구두,0.2,0.2
shoes-967,보라 구두,0.2,0.2
shoes-971,요미 신발,0.2,0.2
shoes-566,쿨썸머 오리발,0.2,0.2
shoes-455,메이플 트렌디 슬립온,0.2,0.2
shoes-720,딸기 스니커즈,0.2,0.2
shoes-686,노랑장화,0.2,0.2
shoes-940,말랑크림 슈즈,0.2,0.2
shoes-431,환상 해변가 슈즈,0.2,0.2
shoes-625,시크릿 은월 부츠,0.2,0.2
shoes-303,뛰어! 운동화,0.2,0.2
shoes-49,펜살리르 배틀부츠,0.2,0.2
shoes-168,데네브 슈즈,0.2,0.2
shoes-906,무릉 무도관 활동화,0.2,0.2
shoes-785,베릴 부츠,0.2,0.2
shoes-270,말랑말랑한 신발,0.2,0.2
shoes-255,화이트 워커,0.2,0.2
shoes-151,아기고양이 슬리퍼,0.2,0.2
shoes-432,짝짝이 스니커즈,0.2,0.2
shoes-239,핑크장화,0.2,0.2
shoes-731,물컹물컹한 신발,0.2,0.2
shoes-240,한정판 비치샌들,0.2,0.2
shoes-488,탑 슬림 스니커즈,0.2,0.2
shoes-574,오렌지 체크캔버스,0.2,0.2
shoes-698,체크 스니커,0.2,0.2
shoes-649,그린 체크 스니커,0.2,0.2
shoes-499,레드 체크 스니커,0.2,0.2
shoes-3,브라운 우든크라그,0.2,0.2
shoes-250,브라운 스키디 샌들,0.2,0.2
shoes-143,브라운 래거 슬리퍼,0.2,0.2
shoes-266,폰라의 슬리퍼,0.2,0.2
shoes-382,꼬질꼬질한 고무신,0.2,0.2
shoes-269,검정색 고무신,0.2,0.2
shoes-520,꽃 고무신,0.2,0.2
shoes-651,꽃 고무신,0.2,0.2
shoes-741,흰색 고무신,0.2,0.2
shoes-104,파란색 고무 장화,0.2,0.2
shoes-29,노란색 고무 장화,0.2,0.2
shoes-516,빨간색 고무 장화,0.2,0.2
shoes-117,가죽 샌들,0.2,0.2
shoes-495,산타걸 부츠,0.2,0.2
shoes-263,산타보이 부츠,0.2,0.2
shoes-305,레이싱걸 부츠,0.2,0.2
