Index,Name,MaleProb,FemaleProb
longcoat-1418,도넛 쇼핑백,1,1
longcoat-1461,붕어빵 봉투,1,1
longcoat-1521,하트 눈사람 퍼코트,1,1
longcoat-1598,바삭 튀김 옷,1,1
longcoat-1383,알이닭,1,1
longcoat-54,단감 옷,1,1
longcoat-327,하프물범 인형옷,1,1
longcoat-473,블랙빈 슈트,1,1
longcoat-188,핑크빈 슈트,1,1
longcoat-597,꿀벌옷,1,1
longcoat-1135,큐티카우 슈트,1,1
longcoat-888,큐티버크 옷,1,1
longcoat-1370,호돌이 인형옷,1,1
longcoat-1152,토마토 옷,1,1
longcoat-702,비누 버블,1,0
longcoat-1326,월묘 옷,1,1
longcoat-928,눈사람 옷,1,1
longcoat-1137,오리 인형옷,1,1
longcoat-861,골판지 박스,1,1
longcoat-531,종이 박스,1,1
longcoat-1186,재생지 박스,1,1
longcoat-1221,오렌지 타월,1,1
longcoat-233,목욕타월-노랑,1,1
longcoat-596,목욕 타월,1,1
longcoat-488,빨간색 수영복,1,1
longcoat-980,흰색 수영복,1,1
longcoat-823,빨간색 가운,1,1
longcoat-73,블루타월,1,0
longcoat-156,블랙 삼각 수영복,1,0
longcoat-1021,블루 삼각 수영복,1,0
longcoat-1328,남자 목욕 타월,1,0
longcoat-384,골판지 박스,1,1
longcoat-309,파란색 가운,1,1
longcoat-35,부르스 타이즈,1,1
longcoat-1047,흰색 검도복,1,1
longcoat-700,빨간색 검도복,1,1
longcoat-999,파란색 검도복,1,1
