Index,Name,MaleProb,FemaleProb
none,없음,1,1
glove-87,노가다 목장갑,0.01,0.01
glove-287,검은새 노가다 목장갑,0.01,0.01
glove-347,갈색 노가다 목장갑,0.01,0.01
glove-368,보라색 노가다 목장갑,0.01,0.01
glove-153,파란색 노가다 목장갑,0.01,0.01
glove-342,빨간색 노가다 목장갑,0.01,0.01
glove-39,노란색 노가다 목장갑,0.01,0.01
glove-475,눈사람장갑,0.01,0.01
glove-307,브라운 레더 아머글로브,0.01,0.01
glove-42,하드레더 글로브,0.01,0.01
glove-319,브라운 바르비,0.01,0.01
glove-99,흰색 붕대,0.01,0.01
glove-382,갈색 붕대,0.01,0.01
glove-192,검은색 붕대,0.01,0.01
glove-333,가위손 장갑,0.01,0.01
glove-442,명품 클래식 시계,0.01,0.01
glove-481,하프물범 인형장갑,0.01,0.01
glove-483,비숑 장갑,0.01,0.01
glove-392,분홍색 펭귄 장갑,0.01,0.01
glove-485,파란색 펭귄 장갑,0.01,0.01
glove-486,부리부리 부엉 인형장갑,0.01,0.01
